Altium Designer Pick and Place Locations,,,,,,,
C:\Users\Public\Documents\Altium\IoTa Core\Project Outputs for IoTa Core\Pick Place for iotaCore.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       27/09/24,,,,,,,
Time:       12:46,,,,,,,
Revision:   a28b2a1db57b0f6d09c497ec15798c826207eb8d,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R4,Resistor 1k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,15.275,20.2,270,"Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R8,Resistor 100k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,26.4,18.05,90,"Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R2,Resistor 100k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,30.6,25.625,270,"Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
Q1,DMG2305UX-7,TopLayer,FP-SOT23-MFG,21.2,17.075,90,"Power Field-Effect Transistor, 4.2A I(D), 20V, 0.052ohm, 1-Element, P-Channel, Silicon, Metal-oxide Semiconductor FET"
PWR,HSMA-C190,TopLayer,AVAG-HSMX-C190_V,13.7499,20.2251,90,"LED Uni-Color Amber, 60 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
SIG,HSMA-C190,TopLayer,AVAG-HSMX-C190_V,32.1251,25.6249,270,"LED Uni-Color Amber, 60 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
D1,MBR120,TopLayer,ONSC-SOD-123FL-2-498-01_V,24.375,17.175,90,Diode
ERR,HSMA-C190,TopLayer,AVAG-HSMX-C190_V,25.9251,25.6749,270,"LED Uni-Color Amber, 60 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
C4,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,29.025,25.65,90,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
C3,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,36.525,33.925,90,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
C9,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,29.75,13.15,90,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
C10,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,26.55,13.15,90,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
R3,Resistor 1k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,35.2,36.775,90,"Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
C7,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,33.625,36.8,90,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
C2,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,34.925,33.925,90,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
C1,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,33.325,33.925,90,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
P1,CN-1P-2M-R2,TopLayer,JST-_S2B-PH-SM4-TB(LF)(SN)-2_V,8.7007,10.6007,315,
U1,ESP32-S3-MINI-1-N8,TopLayer,XCVR_ESP32-S3-MINI-1-N8,24.125,35.225,0,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount"
R11,Resistor 1k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,16.85,20.2,270,"Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
CRG,HSMA-C190,TopLayer,AVAG-HSMX-C190_V,18.3499,20.2001,90,"LED Uni-Color Amber, 60 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
R12,Resistor 100k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,12.1,32.775,90,"Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R7,Resistor 100k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,20.2,13.1,270,"Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R10,Resistor 4.7k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,17.475,17.025,180,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R15,Resistor 1k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,32.725,12.15,270,"Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R14,Resistor 1k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,37.6,16.975,0,"Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
J5,USB4105-GF-A,TopLayer,USB4105-GF-A,38.5112,11.2172,45,USB-C 16-Pin Component
C12,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,13.825,16.5,270,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
C11,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,27.025,15.6,180,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
C8,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,28.15,13.15,90,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
B2,AP2112K-3.3TRG1,TopLayer,SOT95P270X145-5N,23.375,13.15,0,"600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23"
B3,MCP73831T-2ACI_OT,TopLayer,SOT95P270X145-5N,16.925,14.7,0,Li-Ion Charge Controller 4.2V SOT23-5
SW1,KMR211GLFS,TopLayer,FP-KMR211GLFS-MFG,13.9375,42.5,270,
SW2,KMR211GLFS,TopLayer,FP-KMR211GLFS-MFG,34.3375,42.5,90,
J6,4208,TopLayer,4390,41.2767,37.7379,135,Adafruit Accessories JST SH 4-pin Right Angle Connector (10-pack) - Qwiic Compatible
J7,4208,TopLayer,4390,7.0643,37.7757,225,Adafruit Accessories JST SH 4-pin Right Angle Connector (10-pack) - Qwiic Compatible
R9,Resistor 100k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,13.675,32.775,270,"Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
C5,Capacitor  0.1 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,23.7,24.825,90,"Chip Capacitor, 0.1 uF, +/- 0.25 pF, 50 V, 0603 (1608 Metric)"
R1,Resistor 100k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,23.525,20.425,180,"Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
C6,Capacitor  0.1 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,18.425,24.85,270,"Chip Capacitor, 0.1 uF, +/- 0.25 pF, 50 V, 0603 (1608 Metric)"
B1,LSM6DS3TR,TopLayer,LSM6DS3TR,21.05,24.925,0,6DOF IMU
